"character" "dialogue"
"736" "Gamora" "I'm not your daughter. Everything I hate about myself you taught me."
"737" "Thanos" "And in doing so, made you the fiercest woman in the galaxy. That's why I trusted you to find the Soul Stone."
"738" "Gamora" "I'm sorry I disappointed you."
"739" "Thanos" "I am disappointed. But not because you didn't find it.  But because you did.  And you lied."
"740" "None" "Thanos and Gamora stand outside a large solid door that slides open vertically as they approach, then pause as a set of inner doors made of interlacing metal slide away. Inside, we see Nebula face-on, suspended horizontally in the air in the middle of the room, her breath shuddering in pain."
"741" "Gamora" "Nebula."
"742" "None" "Gamora hurries to to Nebula's left side, and we now see that she has been partially disassembled, her components stretched apart -- a cybernetic version of the medieval torture rack. Hannibal Lecter level of brutality."
"743" "Gamora" "Don't do this."
"744" "Thanos" "Some time ago, your sister snuck aboard this ship to kill me."
"745" "Gamora" "Please don't do this."
"746" "Thanos" "And very nearly succeeded. So I brought her here. To talk."
"747" "None" "Thanos curls his gauntleted fist, activating both the Power and Space Stones, scowling -- causing Nebula's already extended pieces to stretch further outward. She begins to scream."
"748" "Gamora" "Stop. Stop it.  I swear to you on my life. I never found the Soul Stone."
"749" "None" "Thanos signals a nearby servant who taps on a control pad. We hear Nebula's voice say, Accessing memory files and a sort of hologram of Gamora's face shudders to life."
"750" "Memory Nebula" "You know what he's about to do. He's finally ready, and he's going for the stones. All of them."
"751" "Memory Gamora" "He can never get them all."
"752" "Memory Nebula" "He will!"
"753" "Memory Gamora" "He can't, Nebula. Because I found the map to the Soul Stone and I burnt it to ash. I burnt it."
"754" "None" "The memory ends."
"755" "Thanos" "You're strong. Me. You're generous. Me. But I never taught you to lie. That's why you're so bad at it.  Where is the Soul Stone?"
"756" "Gamora" "VORMIR!  The Stone is on Vormir."
"757" "Thanos" "Show me."
"758" "None" "Cut to the pod taking Thor, Rocket and Groot to Nidavellir."
"759" "Groot" "I am Groot."
"760" "Rocket" "Tinkle in the cup. We're not looking. What's there to see? What's a twig? Everybody's seen a twig."
"761" "Groot" "I am Groot."
"762" "Thor" "Tree, pour what's in the cup out in space, and go in the cup again."
"763" "Rocket" "You speak Groot?"
"764" "Thor" "Yes, they taught it on Asgard. It was an elective."
"765" "Groot" "I am Groot."
"766" "Thor" "You'll know when we're there. Nivadellir's forge harnesses the power of a blazing neutron star.  It's the birth place of my hammer. It's truly awesome."
"767" "None" "Rocket turns to see Thor sitting sadly beside the window, and sighs."
"768" "Rocket" "Okay, time to be the captain.  So, dead brother, huh? Yeah, that can be annoying."
"769" "Thor" "Well, he's been dead before, but this time I think it really might be true."
"770" "Rocket" "And you said your sister and your dad?"
"771" "Thor" "Both dead."
"772" "Rocket" "Still got a mom, though?"
"773" "Thor" "Killed by a dark elf."
"774" "Rocket" "A best friend?"
"775" "Thor" "Stabbed through the heart."
"776" "Rocket" "Are you sure you're up to this particular murder mission?"
"777" "Thor" "Absolutely. Rage, vengeance, anger, loss, regret... they're all tremendous motivators. They really clear the mind. So I'm good to go."
"778" "Rocket" "Yeah, but this Thanos we're talking about... he's the toughest there is."
"779" "Thor" "Well, he's never fought me."
"780" "Rocket" "Yeah, he has!"
"781" "Thor" "He's never fought me twice. And I'm getting a new hammer, don't forget."
"782" "Rocket" "Better be some hammer."
"783" "Thor" "You know, I'm 1,500 years old. I've killed twice as many enemies as that, and every one would have rather killed me, but none succeeded. I'm only alive because fate wants me alive. Thanos is the latest in a long line of bastards and he will be the latest to feel my vengeance. Fate wills it so."
"784" "Rocket" "And what if you're wrong?"
"785" "Thor" "If I'm wrong then... what more could I lose?"
"786" "None" "Thor sniffs and hastily wipes below his eye. He stands and seats himself at the front of the pod, beside Groot."
"787" "Rocket" "I could lose a lot. Me personally. I could lose a lot.  Okay. If fate does want you to kill that crapsack... you're gonna need more than one stupid eyeball."
"788" "Thor" "What's this?"
"789" "Rocket" "What's it look like? Some jerk lost a bet with me on on Contraxia."
"790" "Thor" "He gave you his eye?"
"791" "Rocket" "He gave me 100 credits. I snuck in later that night and stole his eye."
"792" "Thor" "Thank you, sweet rabbit."
"793" "None" "Thor proceeds to put the eyeball in his socket. We are thankfully spared the explicit insertion."
"794" "Rocket" "Hmm. Huh? Oh. I would've washed that. The only way I could sneak it off Contraxia was up my... Hey, we're here!"
"795" "Thor" "I don't think this thing works. Everything seems dark."
"796" "Rocket" "It ain't the eye."
"797" "None" "Nidavellir is dark and motionless as the three rings around it."
"798" "Thor" "Something's wrong. The star's gone out. And the rings are frozen."
"799" "None" "The pod flies through massive machinery, cold and inert. Screen title: NIDAVELLIR"
"800" "None" "The pod sets down; Thor, Rocket and Groot disembark and start walking through a seemingly abandoned and cluttered space. Groot is still playing his game."
"801" "Rocket" "I hope these dwarves are better at forging than they are cleaning. Maybe they realized they live in a junk pile in the middle of space."
"802" "Thor" "This forge hasn't gone dark in centuries...."
"803" "Rocket" "You said Thanos had a gauntlet, right?"
"804" "Thor" "Yes. Why?"
"805" "Rocket" "Look anything like that?"
"806" "Groot" "I am Groot."
"807" "Thor" "Go back to the pod."
"808" "None" "Suddenly a massive figure storms towards them, flinging Thor away with one swing of his arm, and kicking Rocket and Groot against a wall of equipment."
"809" "Thor" "Eitri, wait! Stop!"
"810" "Eitri" "Thor?"
"811" "None" "Eitri is played by the legendary Peter Dinklage -- his giant size literally juxtaposing his name of dwarf."
"812" "Thor" "What happened here?"
"813" "Eitri" "You were supposed to protect us. Asgard was supposed to protect us!"
"814" "Thor" "Asgard is destroyed.  Eitri, the glove. What did you do?"
"815" "Eitri" "300 dwarves lived on this ring. I thought if I did what he asked, they'd be safe. I made what he wanted. A device capable of harnessing the power of the stones. Then he killed everyone anyway. All except me. 'Your life is yours,' he said. 'But your hands are mine alone.'"
"816" "Thor" "Eitri, this isn't about your hands. Every weapon you've ever designed: every ax, hammer, sword - it's all inside your head."
"817" "Thor" "Now I know it feels like all hope is lost. Trust me, I know. But together, you and I, we can kill Thanos."
"818" "None" "Cut to Nebula suspended in the interrogation room seen earlier, while a technician puts her back together. Nebula ejects her eyepiece and snaps the neck of the tech when he comes close enough to replace it. She walks to a console, straightening her left arm, dragging her still-dislocated right foot behind her, and inputs a code."
"819" "Nebula" "Mantis, listen very carefully. I need you to meet me on Titan."
"820" "None" "Cut to Peter Parker, Tony Stark, and Dr. Strange aboard the ship approaching the surface of Titan."
"821" "Peter Parker" "Hey, what's going on?"
"822" "Stephen Strange" "I think we're here."
"823" "Tony Stark" "I don't think this rig has a self-park function.  Get your hand into this steering gimbal. Close those around it. You understand?"
"824" "Peter Parker" "Yep, got it."
"825" "Tony Stark" "This was meant for one big guy, so we gotta to move at the same time."
"826" "Peter Parker" "Okay. Okay. Ready."
"827" "None" "The ringship is heading straight for the center of what looks like one of a colossal game of jacks."
"828" "Peter Parker" "We might wanna turn. Turn! Turn! Turn!!"
"829" "None" "Iron Man armors up as the ringship clips the jack obliquely, but still losing a good third of its hull in the collision. Spider-Man throws up his helmet at the same time. Doctor Strange steps between them and creates the Shield of the Seraphim around them all, anticipating a rough landing."
"830" "None" "The ship, now reduced to about 45%, plows through the dirt and stops, leaning slightly to one side. Screen title: TITAN."
"831" "None" "Doctor Strange helps Tony, now de-helmeted, to his feet; they're both panting a little from the exertion of arrival."
"832" "Tony Stark" "You alright?  That was close. I owe you one."
"833" "None" "Spider-Man descends from above in classically spider-like fashion."
"834" "Peter Parker" "Let me just say, if aliens wind up implanting eggs in my chest or something, and I eat one of you, I'm sorry."
"835" "Tony Stark" "I don't wanna hear another single pop culture out of you for the rest of the trip. You understand?"
"836" "Peter Parker" "I'm trying to say that... something is coming."
"837" "None" "A grenade rolls into view, and Peter, Strange and Tony get thrown well back when it fires its energy pulse. Star-Lord, Drax, and Mantis appear in the doorway"
"838" "Drax" "THANOS!!!!"
"839" "Peter Parker" "AH! Whoawhoawhoawhoa! PLEASE DON'T PUT YOUR EGGS IN ME!"
"840" "None" "Spider-Man shoots web at Mantis in a panic, pinning arms to her body just before Star-Lord flies at him feet-first, kicking him away."
"841" "Peter Quill" "Stay down, clown!"
"842" "None" "Star-Lord can't quite counter spider reflexes at first; he fires at Spider-Man, who extends his spider legs and leaps away, but an electric-like cord wraps around Spider-Man and his six new legs when he tries to attack, sending him rolling across the deck."
"843" "Drax" "Die, blanket of death!"
"844" "None" "Iron Man pulls free of the magnet; the Cloak pulls free of Drax as soon as Iron Man has a bead on his opponent and a foot on his torso."
"845" "None" "Star-Lord has Spider-Man in a head-lock, gun pointed at the smaller man's head."
"846" "None" "Doctor Strange has a mystical shield of golden energy up, and stands ready at the third point of the triangle. Mantis has struggled to her feet behind Star-Lord, still covered with webbing."
"847" "Peter Quill" "Alright, everybody, stay where you are...chill the F out.  I'm gonna ask you this one time. Where's Gamora?"
"848" "Tony Stark" "Yeah, I'll do you one better. Who's Gamora?"
"849" "Drax" "I'll do you one better. Why is Gamora?"
"850" "Peter Quill" "Tell me where the girl is, or I swear to you, I'm gonna French-fry this little freak."
"851" "Tony Stark" "Let's do it! You shoot my guy, I blast him. Let's go!"
"852" "Drax" "Do it, Quill! I can take it."
"853" "Mantis" "No, he can't take it!"
"854" "Stephen Strange" "She's right. You can't."
"855" "Peter Quill" "Oh yeah? You don't wanna tell me where she is? That's fine. I'll kill all three of you and beat it out of Thanos myself.  Starting with you."
"856" "Stephen Strange" "Wait, what. Thanos?  Alright, let me ask you this one time: What master do you serve?"
"857" "Peter Quill" "What master do I serve? What am I supposed to say? Jesus?"
"858" "Tony Stark" "You're from Earth?"
"859" "Peter Quill" "I'm not from Earth. I'm from Missouri."
"860" "Tony Stark" "Yeah, that's on Earth, dip-shit. What are you hassling us for?"
"861" "Peter Parker" "So, you're not with Thanos?"
"862" "Peter Quill" "With Thanos?! No, I'm here to kill Thanos! He took my girl- Wai- who are you?"
"863" "Peter Parker" "We're the Avengers, man."
"864" "Peter Quill" "Oh."
"865" "Mantis" "You're the ones Thor told us about!"
"866" "Tony Stark" "You know Thor!?"
"867" "Peter Quill" "Yeah. Tall guy, not that good-looking,  needed saving."
"868" "Doctor Strange" "Where is he now?"
"869" "None" "Cut to Nivadellir where Eitri is showing Thor, Rocket, and Groot the mold for Stormbreaker."
"870" "Rocket" "This is the plan? We're gonna hit him with a brick?"
"871" "Eitri" "It's a mold. A king's weapon. Meant to be the greatest in Asgard. In theory, it could even summon the Bifrost."
"872" "Thor" "Did it have a name?"
"873" "Eitri" "Stormbreaker."
"874" "Rocket" "That's a bit much."
"875" "Thor" "So how do we make it?"
"876" "Eitri" "You'll have to restart the forge. Awaken the heart of a dying star."
"877" "Thor" "Rabbit, fire up the pod."
"878" "None" "Cut to Titan where the remaining Avengers and the Guardians are starting to work together. Quill is measuring the planet's tilt."
"879" "Peter Quill" "The heck happened to this planet? It's eight degrees off its axis. Gravitational pull is all over the place."
"880" "None" "in the background, Mantis is jumping joyfully in a low gravity spot."
"881" "Tony Stark" "Yeah, we got one advantage. He's coming to us. We'll use it. All right, I have a plan. Or at least the beginnings of one. It's pretty simple. We draw him in, pin him down, get what we need. Definitely don't wanna dance with this guy. We just want the gauntlet."
"882" "None" "Drax yawns."
"883" "Tony Stark" "Are you yawning? In the middle of this, while I'm breaking it down? Huh? Did you hear what I said?"
"884" "Drax" "I stopped listening after you said, We need a plan."
"885" "Tony Stark" "Okay, Mr. Clean is on his own page."
"886" "Peter Quill" "See, not winging it isn't really what they do."
"887" "Peter Parker" "Uh, what exactly is it that they do?"
"888" "Mantis" "Kick names, take ass."
"889" "Drax" "Yeah, that's right."
"890" "Tony Stark" "Alright, just get over here, please. Mr. Lord, can you get your folks to circle up?"
"891" "Peter Quill" "Mr. Lord. Star-Lord is fine."
"892" "Tony Stark" "We gotta coalesce. 'Cause if all we come at him with is a plucky attitude...."
"893" "Peter Quill" "Dude, don't call us plucky. We don't know what it means. Alright, we're optimistic, yes. I like your plan. Except it sucks, so let me do the plan, and that way it might be really good."
"894" "Drax" "Tell him about the dance-off to save the universe."
"895" "Tony Stark" "What dance-off?"
"896" "Peter Quill" "It's not a... it's not... it's nothing."
"897" "Peter Parker" "Like in Footloose, the movie?"
"898" "Peter Quill" "Exactly like Footloose. Is it still the greatest movie in history?"
"899" "Peter Parker" "It never was."
"900" "None" "Quill frowns sadly at him."
"901" "Tony Stark" "Don't encourage this, alright?"
"902" "Peter Parker" "Okay."
"903" "Tony Stark" "We're getting no help from Flash Gordon here."
"904" "Peter Quill" "Flash Gordon? By the way, that's a compliment. Don't forget, I'm half human.  So that 50% of me that's stupid? That's 100% you."
"905" "Tony Stark" "Your math is blowing my mind."
"906" "Mantis" "Excuse me, but... does your friend often do that?"
"907" "None" "Dr. Strange is sitting cross-legged, floating slightly above the ground, his hands poised in a mystic gesture with the Time Stone glowing brightly in the Eye of Agamotto setting. Green vapor-like energy flows from the stone, and more intricate magical energy patterns circle Dr. Strange's forearms. The Cloak of Levitation flows behind him as if the Stone is creating a strong breeze. His eyes are closed, and his head is jerking rapidly from side to side, the motion blurring, but resembling looking for something."
"908" "Tony Stark" "Strange, we alright?"
"909" "None" "Dr. Strange snaps out of his trance and falls forward, letting out a cry."
"910" "Tony Stark" "You're back. You're alright."
"911" "Peter Parker" "Hey, what was that?"
"912" "Stephen Strange" "I went forward in time to view alternate futures. To see all the possible outcomes of the coming conflict."
"913" "Peter Quill" "How many did you see?"
"914" "Stephen Strange" "14,000,605."
"915" "Tony Stark" "How many did we win?"
"916" "None" "Dr. Strange stares intently at Tony for a moment."
"917" "Stephen Strange" "One."
"918" "None" "Cut to Thanos and Gamora appearing on sand dunes alternating with shallow pools around the base of a mountain. The sun is in full eclipse, lending eerie lighting to the scene. Screen title: VORMIR"
"919" "Thanos" "The stone had better be up there... for your sister's sake."
"920" "None" "The walk up the mountain seems to be long, but not difficult. Paths worn by centuries or more of feet lead up to the summit, where Thanos and Gamora encounter a floating hooded figure]"
"921" "Stonekeeper" "Welcome, Thanos, son of A'lars. Gamora, daughter of Thanos."
"922" "Thanos" "You know us?"
"923" "Stonekeeper" "It is my curse to know all who journey here."
"924" "Thanos" "Where's the Soul Stone?"
"925" "Stonekeeper" "You should know... it extracts a terrible price."
"926" "Thanos" "I am prepared."
"927" "Stonekeeper" "We all think that at first.  We are all wrong."
"928" "None" "The Stonekeeper guides them to a temple-like structure at the summit."
"929" "Thanos" "How is it you know this place so well?"
"930" "Red Skull" "A lifetime ago, I, too, sought the stones. I even held one in my hand. But it cast me out, banished me here. Guiding others to a treasure I cannot possess."
"931" "None" "They stop on a semicircular engraving overlooking a sheer drop. It descends in three shallow steps to a final half-circle cutout, the whole bisected by a deep cut that runs between the two spires behind them. Far, far below is a full circle with similar engraved decoration."
"932" "Red Skull" "What you seek lies before you. As does what you fear."
"933" "Thanos" "What's this?"
"934" "Red Skull" "The price. Soul hold a special place among the Infinity Stones. You might say it has a certain wisdom."
"935" "Thanos" "Tell me what it needs."
"936" "Red Skull" "To ensure that whoever possesses it... understands its power.... The stone demands a sacrifice."
"937" "Thanos" "Of what?"
"938" "Red Skull" "In order to take the stone, you must lose that which you love. A soul, for a soul."
"939" "None" "Gamora begins to laugh at the irony of the situation."
"940" "Gamora" "All my life, I dreamed of a day... a moment when you would get what you deserved. And I was always so disappointed. But now... you kill and torture... and you call it mercy. The universe has judged you. You asked it for a prize, and it told you no. You failed. And do you wanna know why? Because you love nothing. No one."
"941" "Thanos" ""
"942" "Gamora" "Really? Tears?"
"943" "Red Skull" "They're not for him."
"944" "None" "Gamora looks at the Red Skull, and as her bitter smile fades, realizes what is about to happen, as do we...."
"945" "Gamora" "No...This isn't love!"
"946" "Thanos" "I ignored my destiny once. I cannot do that again. Even for you.  I'm sorry, little one."
"947" "Gamora" "NO!"
"948" "None" "She tries in vain to break from his grasp, much like she tried to pull free from the Child of Thanos so many years ago, but, pain showing clearly on his face, he throws her over the edge, and watches sorrowfully as she falls to her death. Light pulses overhead as the sacrifice is correctly accomplished."
"949" "None" "Thanos finds himself lying in one of the shallow pools back at the base of the mountain. He opens his hand and sees that he now has the orange Soul Stone."
"950" "None" "Cut to the Quinjet where Sam is piloting Rhodey, Steve, Natasha, Wanda, and Vision."
"951" "Steve Rogers" "Drop to 2600, heading 0-3-0."
"952" "Sam Wilson" "I hope you're right about this, Cap. Or we're gonna land a lot faster than you want to."
"953" "None" "The Quinjet passes through a camouflage force field into Wakanda's Golden City's valley and lands at the airfield outside the palace. King T'Challa and the Dora Milaje approach to greet the arrivals"
"954" "Okoye" "When you said we were going to open Wakanda to the rest of the world... this is not what I imagined."
"955" "T'Challa" "And what did you imagine?"
"956" "Okoye" "The Olympics. Maybe even a Starbucks."
"957" "None" "The occupants of the Quinjet disembark, Steve and Natasha leading, followed by Bruce and Rhodey, with Vision and Wanda slowly taking up the rear."
"958" "Bruce Banner" "Should we bow?"
"959" "James Rhodes" "Yeah, he's a king."
"960" "Steve Rogers" "Seems like I'm always thanking you for something."
"961" "None" "Bruce bows awkwardly to King T'Challa."
"962" "James Rhodes" "What are you doing?"
"963" "T'Challa" "Uh, we don't do that here.  So how big of an assault can we expect?"
"964" "None" "The group begins to walk back into the administrative building."
"965" "Bruce Banner" "Uh, sir, I think you can expect quite a big assault."
"966" "Natasha Romanoff" "How we looking?"
"967" "King T'Challa" "You will have my Kingsguard, the Border Tribe, the Dora Milaje, and..."
"968" "Bucky Barnes" "A semi-stable, 100-year-old man."
"969" "None" "The two friends share a hug."
"970" "Steve Rogers" "How you been, Buck?"
"971" "Bucky Barnes" "Uh, not bad, for the end of the world."
"972" "None" "In Shuri's lab, Shuri scans the Stone with her kimoyo beads while Vision lies on the examination table. She flips her hand over and studies the hologram projected over her palm."
"973" "Shuri" "Whoa. The structure is polymorphic."
"974" "Bruce Banner" "Right, we had to attach each neuron non-sequentially."
"975" "Shuri" "Why didn't you just reprogram the synapses to work collectively?"
"976" "None" "Vision looks at Bruce as if to ask the same thing."
"977" "Bruce Banner" "Because, we didn't think of it."
"978" "Shuri" "I'm sure you did your best."
"979" "Wanda Maximoff" "Can you do it?"
"980" "Shuri" "Yes, but there are more than two trillion neurons here. One misalignment could cause a cascade of circuit failures.  It will take time, brother."
"981" "Steve Rogers" "How long?"
"982" "Shuri" "As long as you can give me."
"983" "Okoye" "Something's entered the atmosphere."
"984" "None" "Outside, Sam and Bucky look up at the sky"
"985" "Sam Wilson" "Hey, Cap, we got a situation here."
"986" "None" "The defense shield over the Golden City destroys one of the alien vessels when it slams into the field at full attack acceleration."
"987" "Bucky Barnes" "God, I love this place."
"988" "James Rhodes" "Yeah, don't start celebrating yet, guys. We got more incoming outside the dome."
"989" "None" "The shock waves and debris from the ship landings destroy acres of forest and boil up against the dome. The lab has an excellent view of the landing sites. Captain America and Black Panther look at each other in concern over the scope of what they'll be facing."
"990" "Vision" "It's too late. We need to destroy the stone now."
"991" "Natasha Romanoff" "Vision, get your ass back on the table."
"992" "T'Challa" "We will hold them off."
"993" "Steve Rogers" "Wanda, as soon as the stone's out of his head... you blow it to hell."
"994" "Wanda Maximoff" "I will."
"995" "T'Challa" "Evacuate the city. Engage all defense procedures.  And get this man a shield."
"996" "None" "Cut to Nivadellir where Rocket is in the pod, and Thor, without any environmental suit, jumps from the hull onto the ring surface with a cable in his hand attached to the pod."
"997" "Rocket" "I don't think you get the scientifics here. These rings are gigantic. You wanna get them moving, you're gonna need something a lot bigger to yank 'em loose."
"998" "Thor" "Leave that to me."
"999" "Rocket" "Leave that to you? Buddy, you're in space. All you got is a rope and a--"
"1000" "Thor" "Fire the engines!"
"1001" "Rocket" "Nnnyah!"
"1002" "Thor" "MORE... POWER... RABBIT!"
"1003" "None" "Thor commits bicep porn while Rocket accelerates for all he's worth. Finally the rings spin free, realigning into effective configuration as the star bursts back into life."
"1004" "Eitri" "Well done, boy."
"1005" "None" "Thor, clutching the pod's forward windows, points to the star."
"1006" "Thor" "That's Nivadellir!"
"1007" "None" "Rocket gazes amazed at the blazing core. An iris on the cladding around the star opens, firing pure stellar heat through the ring portals and into the forge... until the damaged mechanism fails, crumbles loose and slams shut. The iris closes and the beam of light trails off."
"1008" "Eitri" "Damn it."
"1009" "Rocket" "Damn it? What's damn it?"
"1010" "Eitri" "The mechanism is crippled."
"1011" "Thor" "What?"
"1012" "Eitri" "With the iris closed I can't heat the metal."
"1013" "Thor" "How long will it take to heat?"
"1014" "Eitri" "A few minutes, maybe more. Why?"
"1015" "Thor" "I'm gonna hold it open."
"1016" "Eitri" "That's suicide."
"1017" "Thor" "So is facing Thanos without that ax."
"1018" "None" "Cut to the Wakandan battlefield. Carriers hover over the ground with Wakandan soldiers and Natasha, Steve and Bucky on board; Rhodey and Sam keep pace overhead, and Bruce is in the Hulkbuster armor."
"1019" "Natasha Romanoff" "How we looking, Bruce?"
"1020" "Bruce Banner" "Yeah, I think I'm getting the hang of it. Wow! It's like being the Hulk without actually--  I'm okay. I'm okay."
"1021" "James Rhodes" "I got two heat signatures breaking through the tree line."
"1022" "None" "The heat signatures are Proxima Midnight and Cull Obsidian."
"1023" "None" "The carrier pilots swerve into U-turns, causing their craft to tilt and allowing the practiced soldiers to slide over one side into a run, never coming to a complete halt. A Dora Milaje shouts a command nearby as the last Wakandans join ranks."
"1024" "Jabari Warriors" "MIE EFFA!  YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU! MIE EFFA! YA HU!"
"1025" "T'Challa" "Thank you for standing with us."
"1026" "M'Baku" "Of course, brother."
"1027" "None" "The Black Panther, Captain America, and Black Widow walk to the edge of the barrier, where Proxima Midnight and Cull Obsidian stand. Proxima tests the strength of the barrier by drawing her sword across it consideringly."
"1028" "Natasha Romanoff" "Where's your other friend?"
"1029" "Proxima Midnight" "You will pay for his life with yours. Thanos will have that stone."
"1030" "Steve Rogers" "That's not gonna happen."
"1031" "T'Challa" "You are in Wakanda now. Thanos will have nothing but dust and blood."
"1032" "Proxima Midnight" "We... have blood to spare."
"1033" "None" "The three heroes return to the massed forces."
"1034" "Bucky Barnes" "Did they surrender?"
"1035" "Steve Rogers" "Not exactly."
"1036" "None" "The Black Panther leads the Wakandans in the war cry Yibambe! telling them to hold fast as the Outriders bound toward the barrier; Proxima drops her sword arm down in the signal to attack."
"1037" "Bucky Barnes" "What the hell."
"1038" "Natasha Romanoff" "Looks like we pissed her off."
"1039" "Okoye" "They're killing themselves."
"1040" "None" "As a few Outriders managed to squeeze through intact, the Border Tribe take a knee and raise their shields. The Kingsguard behind them level their sonic spears over their comrades' shoulders, and on Black Panther's command, fire at the approaching monsters. The Winter Soldier uses his M-249 machine gun, and Bruce fires the Hulkbuster's hand repulsors."
"1041" "Sam Wilson" "You seen the teeth on those things?"
"1042" "James Rhodes" "Alright, back up, Sam. You're gonna get your wings singed."
"1043" "None" "Everyone notices a pack of Outriders starting to run around the force-field to the right of the defenders' position."
"1044" "Bruce Banner" "Cap, if these things circle the perimeter and get in behind us... there's nothing between them and Vision."
"1045" "Steve Rogers" "Them we better keep 'em in front of us."
"1046" "Okoye" "How do we do that?"
"1047" "T'Challa" "We open the barrier.  On my signal, open North-West Section Seventeen."
"1048" "Dome Control" "Requesting confirmation, my King. You said open the barrier?"
"1049" "T'Challa" "On my signal."
"1050" "M'Baku" "This will be the end of Wakanda."
"1051" "Okoye" "Then it will be the noblest ending in history."
"1052" "None" "Captain America readies one of his Vibranium hand guards. The Black Panther shouts a command in Xhosa; the Border Tribesmen disengage their shields and stand, as the Black Panther walks out in front of them, never taking his eyes off the enemy."
"1053" "T'Challa" "WAKANDA FOREVER!!!!  Now!"
"1054" "None" "The Outriders pour through, distracted from trying to find any other access. The Black Panther and Captain America pull ahead rapidly due to their enhancements, and literally leap into battle."
"1055" "T'Challa" "How much longer, Shuri?"
"1056" "Shuri" "We've barely begun, brother."
"1057" "T'Challa" "You might want to pick up the pace."
"1058" "None" "Simultaneously, Thor prepares to open the iris of Nidavellir."
"1059" "Thor" "Allfathers, give me strength."
"1060" "Eitri" "You understand, boy? You're about to take the full force of a star. It'll kill you."
"1061" "Thor" "Only if I die."
"1062" "Eitri" "Yes. That's what... killing you means."
"1063" "None" "Thor grasps the two levers and pulls them down and towards himself, slowly opening the iris. The stream of stellar energy blasts past him and into the forge once again."
"1064" "Eitri" "Hold it! Hold it, Thor!"
"1065" "None" "Eitri watches the metal ingots melt while Thor is looking increasingly charred. Finally, Eitri is able to tip the cauldron, pouring the metal into the mold just as Thor passes out. The jet carries him into the forge, Rocket follows hastily and landing after Thor bounces limply off a structure to land on the floor. Groot finally looks up from his game at the thump Thor's body makes."
"1066" "Rocket" "Thor! Say something. Come on. Thor, you okay?"
"1067" "None" "Eitri clumsily and urgently pulls the mold, still glowing red-hot, onto the floor, breaking it loose from its frame, then starts punching the mold itself with his metal fists to free the ax."
"1068" "Rocket" "I think he's dying!"
"1069" "Eitri" "He needs the ax!"
"1070" "None" "Stormbreaker's two sections -- the hammer and the ax-blade -- lay glowing on the floor. Groot looks sadly at Thor for a moment."
"1071" "Eitri" "Where's the handle?"
"1072" "Eitri" "Tree, help me find the handle!"
"1073" "None" "And with a boost of determination, he stands up and and extends his fingers towards the Stormbreaker, growing them at extraordinary speed. As he twines them around the two parts, he cries out at the burning pain but does not hesitate, slamming them together and locking them permanently into one structure. He raises it above his head, and with a mighty cry, chops his extended arm with his other hand to sever it at the right length."
"1074" "None" "Thor's fingers twitch, and the new weapon levitates in a crackle of lightning echoed by the sparks between Thor's fingers."
"1075" "None" "The remaining Avengers and Wakandans are struggling against the Outriders. The Winter Soldier goes down, and fights off Outrider fangs snapping at his head. Captain America and the Black Panther still fight side-by-side. War Machine hovers over the breach, pouring ammunition into the flood of bodies until a huge hammer -- Cull Obsidian's -- knocks him out of the sky and to the ground. The Hulkbuster is dogpiled and pinned."
"1076" "Bruce Banner" "There’s too many of them! GYAH! AAAAHHHHH!"
"1077" "None" "Suddenly, a large beam of rainbow-hued light lands in the middle of the action, and an ax flies out of it, wreathed with lightning and tearing through the Outriders, freeing the heroes. It flies back to the light and into its master's hand just as the beam cuts out, revealing Thor, Groot and Rocket [The Avengers theme swelling triumphantly at their arrival] who chambers a round in his large gun. Black Widow, Captain America and the Black Panther pause in astonishment. Proxima Midnight and Cull Obsidian pause in apprehension."
"1078" "Bruce Banner" "AH-hahaha! You guys are so screwed now!"
"1079" "Thor" "BRING ME THANOS!"
"1080" "None" "Cut to Titan, where Thanos arrives, finding only fresh debris from Ebony Maw's ship."
"1081" "Stephen Strange" "Oh, yeah...you're much more of a Thanos."
"1082" "Thanos" "I take it, the Maw is dead. This day extracts a heavy toll. Still, he accomplished his mission."
"1083" "Stephen Strange" "You may regret that. He brought you face-to-face with the Master of the Mystic Arts."
"1084" "Thanos" "And where do you think he brought you?"
"1085" "Stephen Strange" "Let me guess. Your home?"
"1086" "Thanos" "It was. And it was beautiful.  Titan was like most planets. Too many mouths, and not enough to go around. And when we faced extinction, I offered a solution."
"1087" "Stephen Strange" "Genocide."
"1088" "Thanos" "But at random, dispassionate, fair to rich and poor alike. They called me a madman. And what I predicted came to pass."
"1089" "Stephen Strange" "Congratulations. You're a prophet."
"1090" "Thanos" "I'm a survivor."
"1091" "Stephen Strange" "Who wants to murder trillions."
"1092" "Thanos" "With all six stones, I could simply snap my fingers, and they would all cease to exist; I call that... mercy."
"1093" "Stephen Strange" "And then what?"
"1094" "Thanos" "I finally rest...and watch the sun rise on a grateful universe."
"1095" "Thanos" "The hardest choices require the strongest wills."
"1096" "Stephen Strange" "I think you'll find our will...equal...to yours."
"1097" "Thanos" "Ours?"
"1098" "Tony Stark" "Piece of cake, Quill."
"1099" "Peter Quill" "Yeah, if your goal was to piss him off!"
"1100" "None" "The wreckage on top of Thanos erupts in purple, as he bellows in rage. He turns the hovering fragments into a flock of bats with the Reality Stone and swarms Iron Man with them, driving him back through the ruins."
